"doy_peak","peak_cfs","vol_4.5.6.","elev_5.1","doy.max.fav","cfs.max.fav","d.150","d.200","d.224","ZAirTemp","PC1","PC2","PC3"
4.91265488573605,6.65527946226498,10.2068162630387,-0.33,4.91265488573605,6.43603353462155,61,81,81,-0.37917736563798,1.26301979672504,-1.46620772199257,-0.99485372475115
5.04342511691925,7.26528402522792,10.9019155085596,0.1,5.03043792139244,7.12570874507472,84,99,105,-0.336621338351743,2.41326791665585,1.15556605851752,-1.35425957334076
4.91998092582813,6.32016859414267,9.84456556245055,0,4.92725368515721,6.25777926747,61,103,107,-0.568856700580758,0.436450407421966,-1.0593441898763,-2.01200024488229
4.97673374242057,7.37632558964238,11.4458611702972,0.7,4.99721227376411,7.34556656312951,60,60,60,-0.369174546256618,3.87471205867591,-0.672996898909512,-0.798893422266721
4.91998092582813,6.1991983085401,9.58087264992721,-0.06,4.93447393313069,6.14770689501442,60,70,73,0.179802120449909,0.778029644654685,-1.79803527787849,0.515104905675659
4.85981240436167,5.41313304082803,8.62640731762982,-1.19,4.85981240436167,5.31935501520501,125,127,129,-0.105182818586175,-3.11475023943707,-0.807366203605192,-1.07530728264048
4.91265488573605,6.43282285644605,9.44887306704919,-2.04,4.91998092582813,6.38654963539323,124,124,127,-0.0174284618436574,-1.33645683213768,0.666521367223051,-0.47737993754945
4.89783979995091,5.81692513075608,8.9954477634471,-3.3,4.91998092582813,5.74912766408933,126,129,129,0.114774071070137,-2.61850374574574,0.468751961181431,0.103613875525911
4.88280192258637,5.97112896540183,9.13040446467428,-4.44,4.89034912822175,5.94686537594576,126,128,128,0.101419872961751,-2.67447586854913,0.512082429371418,0.409745889726979
4.89783979995091,7.50682069178064,11.1672687486652,-3.21,4.92725368515721,7.47656677082005,60,60,60,0.476520104743025,2.48086440144642,-0.606727737199836,2.46534763925187
4.9416424226093,5.92406081396799,9.45238320151316,-2.51,4.96284463025991,5.84984683385473,74,82,99,0.361543691682779,-0.486133946263865,-0.638965405285918,1.28821787082017
5.15329159449778,7.38541184156336,10.8532845239004,-2.41,5.17048399503815,7.21339548457851,114,119,119,0.0260306773272022,2.08824239264278,3.86784688371156,-0.039966773769552
5.06890420222023,6.32581399649554,9.89081472185622,-0.09,5.08140436498446,6.20946569892127,60,60,60,0.306615964287133,2.24039289642174,-0.347327387901086,1.0703616931733
4.91265488573605,6.08838328090447,9.12870293857825,-2.51,4.92725368515721,5.95629607253465,127,131,131,0.37977072691857,-2.24441065932595,0.762129615696648,0.542115157568936
4.86753445045558,5.61669533734228,9.0658918425379,-3.89,4.87519732320115,5.53007372096047,125,126,127,0.142514648317134,-3.10024822318493,-0.035927493052703,0.358153927457591
